Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,100nF/25V,C_0603_1608Metric,135.2822,-107.4954,180,top
C2,100nF/25V,C_0603_1608Metric,109.2604,-107.4798,180,top
C3,470nF,C_0603_1608Metric,153.621,-108.837,0,top
C4,100nF/25V,C_0603_1608Metric,139.5038,-106.6318,0,top
C5,780nF,C_0603_1608Metric,153.621,-112.3893,0,top
C6,1uF,C_0603_1608Metric,153.621,-115.9416,0,top
C7,320nF,C_0603_1608Metric,141.7472,-116.347,-90,top
C8,78nF,C_0603_1608Metric,134.6322,-116.347,-90,top
C9,160nF,C_0603_1608Metric,138.1897,-116.347,-90,top
C10,100nF/25V,C_0603_1608Metric,113.1342,-106.286,0,top
C11,1uF,C_0603_1608Metric,127.3048,-116.1038,0,top
C12,320,C_0603_1608Metric,115.8816,-117.0302,-90,top
C13,470nF,C_0603_1608Metric,127.3048,-108.8722,0,top
C14,780nF,C_0603_1608Metric,127.3048,-112.488,0,top
C15,78nF,C_0603_1608Metric,108.6104,-117.0302,-90,top
C16,160nF,C_0603_1608Metric,112.246,-117.0302,-90,top
C17,100nF/25V,C_0603_1608Metric,138.0332,-78.3536,180,top
C18,100nF/25V,C_0603_1608Metric,142.0718,-77.1852,0,top
C19,470nF,C_0603_1608Metric,157.636,-79.6998,0,top
C20,780nF,C_0603_1608Metric,157.636,-83.332,0,top
C21,1uF,C_0603_1608Metric,157.636,-86.9642,0,top
C22,78nF,C_0603_1608Metric,137.3832,-88.018,-90,top
C23,160nF,C_0603_1608Metric,140.9691,-88.018,-90,top
C24,470nF,C_0603_1608Metric,144.555,-88.018,-90,top
C25,100nF/25V,C_0603_1608Metric,107.7374,-78.0926,180,top
C29,100nF/25V,C_0603_1608Metric,112.3856,-75.6796,0,top
C30,560nF,C_0603_1608Metric,128.5146,-78.4542,0,top
C31,1uF,C_0603_1608Metric,128.5146,-82.0042,0,top
C32,1.2uF,C_0603_1608Metric,128.5146,-85.5542,0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,165.354,-97.6884,0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,169.944,-97.6884,0,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,174.534,-97.6884,0,top
J4,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,181.124,-97.6884,0,top
J5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,185.714,-97.6884,0,top
J6,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,190.304,-97.6884,0,top
J7,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,165.354,-83.4784,0,top
J8,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,169.944,-83.4784,0,top
J9,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,174.534,-83.4784,0,top
J10,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,185.714,-83.4784,0,top
J11,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,181.124,-83.4784,0,top
J12,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,190.304,-83.4784,0,top
R1,5K1,R_0603_1608Metric,135.2822,-106.2,0,top
R2,10K,R_0603_1608Metric,144.5278,-110.8736,0,top
R3,10K,R_0603_1608Metric,144.5278,-106.8096,0,top
R4,5K1,R_0603_1608Metric,109.2604,-105.9304,0,top
R5,10K,R_0603_1608Metric,117.871,-106.8702,0,top
R6,10K,R_0603_1608Metric,117.871,-111.0866,0,top
R7,5K1,R_0603_1608Metric,138.0332,-76.601,0,top
R8,10K,R_0603_1608Metric,147.2026,-77.5662,0,top
R9,10K,R_0603_1608Metric,147.2026,-81.7572,0,top
R10,5K1,R_0603_1608Metric,107.7374,-76.5178,0,top
R11,10K,R_0603_1608Metric,107.7374,-79.769,180,top
R12,10K,R_0603_1608Metric,117.872,-80.4802,0,top
SW1,SW_Push,SW_PUSH_6mm,134.4572,-98.0318,0,top
SW2,SW_Push,SW_PUSH_6mm,107.8912,-97.7262,0,top
SW3,SW_Push,SW_PUSH_6mm,137.2398,-69.4464,0,top
SW4,SW_Push,SW_PUSH_6mm,106.9524,-68.72,0,top
U1,LTC2954CTS8-2_TRPBF,LTC2954CTS8-2,113.5022,-109.1972,0,top
U2,LTC2950ITS8-2_TRMPBF,LTC2950ITS8-2,139.9138,-109.162,0,top
U3,LTC2951ITS8-1,LTC2951ITS8-1,142.529,-80.03,0,top
U4,LTC2955CTS8-2_TRPBF,LTC2955CTS8-2_,112.6904,-78.7582,180,top
